微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
IqJ7jy25w,TWINKLE_芸芸芸,男,其他,946,317,TWINKLE_芸芸芸:我cnmd吃野味的cnmd发现疫情还全国各地到处乱跑的我新衣服新裙子全准备好了准备快快乐乐出去逛街溜公园cnm  ,无,2020-01-23 00:59,vivo X27 Pro,5,0,4,无
IqJ7jzre5,yyxfklo,女,其他,324,96,yyxfklo:真的烦死了，把疫情发到两个家族群里，一个只有我弟弟我姐姐我弟弟女朋友有反应。一个群里无人回应……让我妈买了口罩和医用酒精，我爸说又不是什么大事。无力……  ,无,2020-01-23 00:59,假的iPhone X,0,0,0,无
IqJ7j1frB,君子风云_97690,男,广东,190,49,君子风云_97690:国家卫生健康委会同相关部门联防联控 全力应对新型冠状病毒感染的肺炎疫情 http://t.cn/A6vD7Zr6  原图 ,无,2020-01-23 00:59,学习强国客户端,0,0,0,无
IqJ7iDpYe,飞天蘑菇R,男,广东,219,72,"飞天蘑菇R:我提出了问题""我想要疫情分布详细城市，不要只是笼统的统计人数！！""我想要疫情分布详细城市，不要只是笼统的统计人数！！  ",无,2020-01-23 00:59,荣耀20,0,0,0,无
IqJ7ionX1,月亮里有森个小精灵啊,女,河北,503,552,月亮里有森个小精灵啊:#中国有信心打赢新型肺炎疫情攻坚战#加油加油[加油][加油][加油]一定可以[加油][加油][加油]都辛苦了[加油][加油][加油]  ,无,2020-01-23 00:59,Android,9,0,0,无
IqJ7ilLIi,七乘七等于四十九,男,北京,332,132,七乘七等于四十九:去年被灌了一年的鸡汤，不由得感叹厉害了，我的国！今年年初，一场疫情和几件小事让我们迅速回到现实。别天天做梦了……  ,无,2020-01-23 00:59,iPhone客户端,1,0,0,无
IqJ7i7UuB,源来是6,女,海外,726,341,源来是6:#疫情地图#  流感什么时候走啊好怕开学啊 那么大规模的人流怎么避免的了 在最最最偏僻的新疆反而最有安全感  原图 ,无,2020-01-23 00:59,小肥宝宝王源的小汤圆,9,0,4,无
IqJ7i6Ifz,饮光想要暴富,女,其他,356,11,饮光想要暴富:#武汉对进出城车辆及人员实施疫情排查# 武汉加油！希望大家都能过个好年！ 昆山市  显示地图 ,#武汉对进出城车辆及人员实施疫情排查#,2020-01-23 00:59,vivo智能手机,0,0,0,无
IqJ7i6Ifz,饮光想要暴富,女,其他,356,11,饮光想要暴富:#武汉对进出城车辆及人员实施疫情排查# 武汉加油！希望大家都能过个好年！ 昆山市  显示地图 ,#武汉对进出城车辆及人员实施疫情排查#,2020-01-23 00:59,vivo智能手机,0,0,0,无
IqJ7ghtpd,不瘦不改微博ID兲,女,其他,774,281,不瘦不改微博ID兲:#陈飞宇粉丝拿疫情诅咒他人##陈飞宇粉丝拿疫情诅咒他人##陈飞宇粉丝倒打一耙# 陈飞宇粉丝国难当头专注诅咒他人，先嘴臭的人可是这位头脑装粪，嘴里流脓，眼瞎心烂的陈飞宇粉丝呢！还不允许人还击吗？陈飞宇粉丝恶臭，陈飞宇粉丝死贱比，陈飞宇粉丝下地狱地狱都嫌脏  ,无,2020-01-23 00:59,Redmi K30 全速热爱,0,0,0,无
IqJ7gk4Zs,向北而居-,女,其他,268,42,向北而居-:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,无,2020-01-23 00:59,vivo NEX AI智慧旗舰,0,0,0,无
IqJ7f6x4y,-橘暴富-,女,山东,279,79,-橘暴富-:半夜果然是个伤感的时间段啊，刷到空间的一条消息，真的替朱一龙和粉丝姐妹们要委屈死了一线医生上现场前发微博寻求偶像的鼓励，有错吗？朱一龙先生身为偶像，身为一个武汉人，说一句“辛苦了，一定要保护好自己才能保护更多的人”有错吗？湖北地区疫情严重，粉丝捐款购买20w只口罩，20w片消毒棉片，1000瓶消毒液免费发放，有错吗？粉丝为公益午餐捐款近50w，有错吗？凭什么被这群人屠版辱骂几天？我们，在做实事，而你们，在抱着键盘逼的一位前线医生身心俱疲，销声匿迹，在谴责做实事的人吃人血馒头！朱一龙走在光里，所以我们看到温暖，传播温暖。最后一句安慰自己的话:但行好事，莫问前程。 [组图共8张] 原图 ,无,2020-01-23 00:59,荣耀Play 让快更快,0,0,0,无
IqJ7f6x4y,-橘暴富-,女,山东,279,79,-橘暴富-:半夜果然是个伤感的时间段啊，刷到空间的一条消息，真的替朱一龙和粉丝姐妹们要委屈死了一线医生上现场前发微博寻求偶像的鼓励，有错吗？朱一龙先生身为偶像，身为一个武汉人，说一句“辛苦了，一定要保护好自己才能保护更多的人”有错吗？湖北地区疫情严重，粉丝捐款购买20w只口罩，20w片消毒棉片，1000瓶消毒液免费发放，有错吗？粉丝为公益午餐捐款近50w，有错吗？凭什么被这群人屠版辱骂几天？我们，在做实事，而你们，在抱着键盘逼的一位前线医生身心俱疲，销声匿迹，在谴责做实事的人吃人血馒头！朱一龙走在光里，所以我们看到温暖，传播温暖。最后一句安慰自己的话:但行好事，莫问前程。 [组图共8张] 原图 ,无,2020-01-23 00:59,荣耀Play 让快更快,0,0,0,无
IqJ7exqDP,西西河联储,男,上海,530,2662,西西河联储:节前简单说下对市场的看法：其实节前就一个问题，持多少仓过节。但必须说，这事只能一事一议，就标的论。滞涨股由于疫情对情绪和节奏的打压，虽然风险不大，但暂时也难有表现了，因此继续潜伏持仓过节的意义大大削弱。而且对滞涨股来说，很可能越是没获利的品种越没必要持仓过节。因为疫情无疑会加重观望情绪，包括对滞涨股很重要的增量资金，因此如果做多资金还没在这个滞涨股里获得优势，那节后很可能也不急于一时。同时，科技股里前期涨幅较大，近期又在高位横盘后再创新高的门类也是碰不得。原因是里面的做多机构浮盈很大，已经完全占据主动，后手进去没胜算，简单的说就是玩不过他们。因此剩下的就是那些资金已经占据优势有明显表现的滞涨股，里面的大玩家虽然被疫情半渡截击，但也会有为了避免前功尽弃而抵抗的需要。另外科技主线里那些北上资金主导的，没有出现明显加速上涨没有连续明显放量的趋势良好标的，也有持仓的价值。至于总仓位上，可以考虑持5成仓过节，算是个中庸的观点，属于强势走势中最低的配置水平或弱势走势里最高的配置水平。这也符合前面的标的选择思路：滞涨里相对强的，主线里相对弱的。 ,无,2020-01-23 00:59,微博 weibo.com,3,1,0,无
IqJ7dBuWX,优雅静公主,女,其他,1126,64857,优雅静公主:#优雅的静公主a[超话]##分享##戴上口罩从我做起#带上口罩😷保护了自己，也保护了他人！呼吁我们身边的人，行动起来。同在前线的医务人员，一起努力，共同克服疫情难关！加油！ #确保新型肺炎患者不因费用影响就医#  [组图共4张] 原图 ,无,2020-01-23 00:59,优雅的静公主a超话,0,0,0,无
IqJ7dFfMp,别他妈限我流,男,其他,67,11,别他妈限我流:书记，夜里我不关心疫情，只想谈谈风月。  ,无,2020-01-23 00:59,iPhone客户端,1,0,0,无
IqJ7cuhYw,绵绵的青山雨下个不停,男,湖北,270,386,绵绵的青山雨下个不停:#我是表情帝# 今夜雷声大作，疫情扩散加大，什么不计报酬，无论生死！说真心话，我不赞同！ 恩施土家族苗族自治州·咸丰县  显示地图 原图 ,#我是表情帝#,2020-01-23 00:59,iPhone客户端,4,0,6,无
IqJ7cbaHw,吸啵冠军·,女,新疆,679,206,吸啵冠军·:#疫情地图#西北挺住。武汉加油！！！全国加油！！  原图 ,无,2020-01-23 00:59,iPhone客户端,0,0,0,无
IqJ7a8iWR,超高校级的污司机,女,新疆,507,95,超高校级的污司机:#疫情地图#开始往新疆来了嘛新疆挺住啊啊啊 石河子  显示地图 原图 ,#疫情地图#,2020-01-23 00:59,OPPO R9 Plus,33,1,34,无
IqJ79v9oe,遥恋月678,男,江苏,402,58,遥恋月678:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vdQP9H  ,无,2020-01-23 00:59,iPhone客户端,0,0,0,无
IqJ79eZ4T,coral_yao,女,陕西,347,563,coral_yao:西安『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,无,2020-01-23 00:59,iPhone客户端,0,0,1,无
IqJ79co1d,许许许-先生,男,北京,131,64,许许许-先生:『新型肺炎疫情实时动态 - 人民日报·丁香园』http://t.cn/A6vkGFII  ,无,2020-01-23 00:59,vivo iQOO生而强悍,0,0,0,无
IqJ783Zsx,时代峰峻再不请保镖立马倒闭,女,其他,686,199,时代峰峻再不请保镖立马倒闭:#武汉对进出城车辆及人员实施疫情排查#不知道为什么总发现有小部分人一味想喷别人以偏概全，这个时候不是应该团结一致互相安慰吗？这病有潜伏期的，离开的早的谁知道发热就是肺炎呢？当然有那种有症状离开的，但也不能一棒子打死吧？武汉市民已经牺牲很多控制自己了。再者说，不是武汉市民，你也不知道他们有多慌是撒，冷言冷语不太好吧。真的希望大家都团结起来，一定可以攻克难关的都预防起来，我不是学医的只能给予口头上的加油了 ,无,2020-01-23 00:59,荣耀7X 全面屏手机,0,0,0,无
IqJ77bNq1,饭团和角角的妈咪,女,北京,905,1279,饭团和角角的妈咪:#疫情下不回武汉过年的人#第一次不在家过年，感谢爸爸妈妈的理解。每天三次定时跟他们联系，询问他们的身体状况，人真是会越来越害怕意外发生！但愿一切顺利，湖北平安，家人们健康平安。  原图 ,无,2020-01-23 00:59,iPhone客户端,14,0,3,无
IqJ77aGkf,林过过过过过,女,湖北,293,220,林过过过过过:认真看了看最近的新闻，真的有点喘不过气了。#陶勇##疫情中的逆行者# 荆门  显示地图 原图 ,#疫情中的逆行者#,2020-01-23 00:59,iPhone客户端,0,0,0,无
IqJ754RmV,Yao_miy,女,上海,318,110,Yao_miy:#疫情地图#大公鸡挺住！💪 上海  显示地图 原图 ,#疫情地图#,2020-01-23 00:59,iPhone 6s,150,4,7,无
IqJ74sa2E,逆光呀呀呀,女,其他,180,69,逆光呀呀呀:#湖北新型肺炎累计444例死亡17例#03年非典，起源于广东，爆发在北京！当年的武汉人民没有怨天尤人，没有歧视任何中国人，武汉的医疗工作者星夜驰援北京。98年洪水，08年地震，武汉人民严防死守，援助汶川，从没有畏手畏脚！       如今武汉遭遇疫情且逢春节临近，微博，头条，朋友圈各路媒体群起而攻，要武汉封城，让武汉人不要到处流窜，回武汉过年的遭到谴责，出武汉探亲的遭到歧视！武汉人民保持着最大的克制响应政府号召，足不出户！务工回来人员能不回来的就不回来！岂不知：好言一句三冬暖，恶语伤人六月寒！祈愿在这场看不见硝烟的战场上，全国人民携手武汉共度难关！特别是战斗在一线医疗人员，日以继夜，不休不眠在抵抗病毒，让人动容，值得点赞！所以我们要稳住，是时候展示我们良好的心理素质了！  相信一切都会过去，一定都会好起来的！🙏🙏🙏武汉加油💪💪💪湖北加油💪💪💪深爱的故乡加油💪💪💪天佑武汉🙏🙏🙏祈祷众生都能平安无事🙏🙏🙏祈祷疫情速速灭掉🙏🙏🙏向奋斗在一线的所有医护人员和人们致以最诚挚最崇高的敬意[抱拳]你们辛苦啦[咖啡]🌹🌹🌹[西瓜] ,无,2020-01-23 00:59,iPhone 6s Plus,3,0,1,无
IqJ74sa7U,zhuiyizhiqiu,男,其他,201,351,zhuiyizhiqiu:#疫情地图#现在抬价卖口罩的无异于谋财害命，这是在和全国人民作对，最后还是会被感染的，正常价格出售，大家一起共度难关不好吗？  ,无,2020-01-23 00:59,iPhone客户端,0,0,4,无
IqJ74sa2E,逆光呀呀呀,女,其他,180,69,逆光呀呀呀:#湖北新型肺炎累计444例死亡17例#03年非典，起源于广东，爆发在北京！当年的武汉人民没有怨天尤人，没有歧视任何中国人，武汉的医疗工作者星夜驰援北京。98年洪水，08年地震，武汉人民严防死守，援助汶川，从没有畏手畏脚！       如今武汉遭遇疫情且逢春节临近，微博，头条，朋友圈各路媒体群起而攻，要武汉封城，让武汉人不要到处流窜，回武汉过年的遭到谴责，出武汉探亲的遭到歧视！武汉人民保持着最大的克制响应政府号召，足不出户！务工回来人员能不回来的就不回来！岂不知：好言一句三冬暖，恶语伤人六月寒！祈愿在这场看不见硝烟的战场上，全国人民携手武汉共度难关！特别是战斗在一线医疗人员，日以继夜，不休不眠在抵抗病毒，让人动容，值得点赞！所以我们要稳住，是时候展示我们良好的心理素质了！  相信一切都会过去，一定都会好起来的！🙏🙏🙏武汉加油💪💪💪湖北加油💪💪💪深爱的故乡加油💪💪💪天佑武汉🙏🙏🙏祈祷众生都能平安无事🙏🙏🙏祈祷疫情速速灭掉🙏🙏🙏向奋斗在一线的所有医护人员和人们致以最诚挚最崇高的敬意[抱拳]你们辛苦啦[咖啡]🌹🌹🌹[西瓜] ,无,2020-01-23 00:59,iPhone 6s Plus,3,0,1,无
IqJ74e8Sv,_小王子的Rose,男,上海,124,63,_小王子的Rose:希望疫情快点过去 桐城市  显示地图 ,无,2020-01-23 00:59,iPhone客户端,0,0,0,无
IqJ73zRuB,cassie_小tea,女,山东,408,94,cassie_小tea:#疫情地图#山东人民挺住  ,无,2020-01-23 00:59,荣耀10青春版,0,0,0,无
IqJ73jKzn,梁东东_,男,福建,363,713,梁东东_:#新型肺炎已致湖北17人死亡#非常时期，还望全国人民能统一思想，统一行动，统一意志，听从、服从国家权威机构的决策部署与建议要求，不信谣、不传谣，不要站在道德制高点开地图炮，持续关注疫情的最新态势，做好个人、家人日常的防护消毒工作，出现异常及时就医，尽可能减少聚会及外出，万众一心，攻克难关，天佑中华！ http://t.cn/RXnNTiO 显示地图 ,http://t.cn/RXnNTiO,2020-01-23 00:59,iPhone客户端,5,0,0,无
IqJ728jUb,莫问前程者,男,湖北,369,3573,莫问前程者:就这#疫情地图# 谁还敢#春节出游打卡# ？？？  原图 ,无,2020-01-23 00:59,vivo NEX双屏版,16,0,6,无
IqJ71wFrH,我今天还没吃药a,女,江苏,382,192,我今天还没吃药a:嗨 谁面对疫情不害怕呢  ,无,2020-01-23 00:59,HUAWEI P30,0,0,2,无
IqJ71dYNJ,是小木白吖,女,江苏,533,178,是小木白吖:#全国确诊新型肺炎病例# 看到网络上关于武汉封城 有人说那些说封城的人都站在道德制高点上，没有为他们想想，他们也想与亲人团聚，过个好年…我真的认为没必要 真的没必要封城是希望将疫情隔离，不往外扩散，毕竟出武汉不是过了什么“真空灭菌通道”；戴了口罩也只是暂时隔离了自己。但万一此人存在潜伏期了，回家与亲人团聚是开心，真感染了祸及亲人一定会是后悔，不仅自己入院隔离，接触人员也要隔离检查。等疫情得到控制，大家都平平安安，再开心、放心的团聚不好吗？现在抱着侥幸心理去求那“一万”又是何必，至少在目前看来，各省各市首例感染公布均与“武汉”这两个字联系，让人不得不对“武汉”恐慌。建议武汉封城，希望提上日程。 ,无,2020-01-23 00:58,iPhone,37,0,9,无
IqJ71eYDa,武汉来了,男,湖北,2771,396763,武汉来了:1 月 22 日，从武汉市新型冠状病毒感染的肺炎疫情防控指挥部获悉，为有效应对新型冠状病毒感染的肺炎疫情，武汉市决定即日（22日）起全市启动进出城道口重大疫情排查防控工作，依法依规对过往车辆及人员实施疫情排查防控。市指挥部要求各区依托全市公安检查站设置疫情检测点，严格筛查检测，坚决防止疫情输出扩散风险。 ,无,2020-01-23 00:58,无,8,1,1,无
IqJ71frik,Onlyih22,女,上海,116,28,Onlyih22:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6v1xgC0  ,无,2020-01-23 00:58,iPhone客户端,0,0,0,无
IqJ71gwTl,Lychees_e,女,海外,209,16,Lychees_e:快点给我封城！！！！！！还有 湖北省内别的城市疫情给我做饭信息透明！！！！！！！！！！！#新型肺炎已致湖北17人死亡#  ,无,2020-01-23 00:58,iPhone客户端,0,0,0,无
IqJ70kE3W,一fairy,女,其他,293,118,一fairy:相信国家  相信前线医护工作者   『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,无,2020-01-23 00:58,张云雷V+,0,0,0,无
IqJ6YAy31,iamjasmine_,女,其他,187,633,iamjasmine_:害怕到失眠。自去年底就一直在关注疫情，早早囤了N95、消毒液，期间也被说过过度紧张了。事实证明，保持理性清晰的头脑非常重要；对任何细节、事件 谨慎、深思是正确的选择，同时也必须关注新闻实事，并注意甄别信息来源。祈祷家人、朋友平安健康。  ,无,2020-01-23 00:58,iPhone客户端,1,0,0,无
IqJ6Vmjyu,吃颗草莓糖嘛·,女,四川,632,2162,吃颗草莓糖嘛·:#中国有信心打赢新型肺炎疫情攻坚战#一定可以，我大中国冲冲冲  ,无,2020-01-23 00:58,🍓专用Android,4,0,0,无
IqJ6Tfqc2,我是宝宝的轻松熊_695,女,广东,277,48,我是宝宝的轻松熊_695:#新型肺炎已致湖北17人死亡#哎，我想说，好多人都是觉得这事离他们自己还很远的。我同学，放假前先去武汉开会再回他家江西过年，刚好在武汉那几天是17.8号左右吧，那时疫情消息还没有爆发官方还很正面。才过两天不到一下爆发了，我在广州还没放假但是这边口罩一下就脱销了，连锁公司货都拿不到了!今天晚上我看热搜挺担心他，毕竟都跟武汉有关。提醒他，可是他说肯定没有的，还说如果是我怕他就去其他人那住了再回来。现在暂时跟他合租，虽然我也害怕感染，但只是纯善意提醒他注意，不管为自己还是为家人，其实真实的情况远比我们想像的严重! http://t.cn/ReN5aUi 显示地图 [组图共4张] 原图 ,#新型肺炎已致湖北17人死亡#,2020-01-23 00:58,小米6 拍人更美,0,0,0,无
IqJ6SCNhW,小迪真好大家好才是真的好,女,河北,275,455,小迪真好大家好才是真的好:您可能需要明确一点，“引发恐慌”的是疫情，而不是把疫情公布出来的人。我很奇怪您是怎么想的，把信使杀死就不会有坏事发生了吗？——转。  ,无,2020-01-23 00:58,iPhone客户端,0,0,3,无
IqJ6S3vje,你心里的小酒酒,女,新疆,67,68,你心里的小酒酒:#疫情地图# 我大新疆挺住 愿家人都平安无事🙏🙏🙏  ,无,2020-01-23 00:58,HUAWEI P30 Pro,1,0,1,无
IqJ6S5ZPE,wuli333332,女,湖北,420,99,wuli333332:#新型肺炎已致湖北17人死亡# 每天关注疫情消息到一两点也是没谁了，希望每个人出行自觉带好口罩，保护自己的同时也保护别人，共度难关……  ,无,2020-01-23 00:58,iPhone X,3,0,0,无
IqJ6Ruj4D,仲冬初七吖,女,其他,47,2,仲冬初七吖:武汉加油『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,无,2020-01-23 00:58,荣耀9i 千元潮美旗舰,0,0,0,无
IqJ6Q0j8d,桫椤千叶,女,内蒙古,60,12,桫椤千叶:『新型肺炎疫情实时动态 - 人民日报·丁香园』http://t.cn/A6vssLV5  ,无,2020-01-23 00:58,小米8周年旗舰手机,0,0,0,无
IqJ6Q0kUf,尚柯是个小超人,女,山东,311,29,尚柯是个小超人:#疫情地图#真的特别担心爸妈。说是我们这查出来了，我跟本不敢去上班  原图 ,无,2020-01-23 00:58,iPhone客户端,5,0,6,无
IqJ6Owcbf,潮啊-大叔,男,湖南,1781,784,潮啊-大叔:疫情在快速发展，防控疫情的信息也是迅速升温。其实未知的恐慌远大过疫情。防疫被與情裹挾，欧美每年死于流感病毒近万人，确从未见如此惊恐。信息公开透明是第一步，加上权威而又有担当的的解读才是正确掌握话语权的根本。  ,无,2020-01-23 00:58,HUAWEI Mate 30,0,0,0,无
IqJ6Oh4Kj,我是梦阿不是醒,女,北京,33,9,我是梦阿不是醒:#疫情地图#感觉去过武汉的就感染了，中转都有可能， 要真是这样，武汉可以封城了……  ,无,2020-01-23 00:58,iPhone客户端,0,0,0,无
IqJ6NEq1M,小困的懒猫,女,新疆,304,93,小困的懒猫:#疫情地图#新疆挺住啊[加油] 哈密  显示地图 原图 ,#疫情地图#,2020-01-23 00:58,OPPO A91,1,0,2,无
IqJ6NFnLh,明天接着瓜皮,男,陕西,87,24,明天接着瓜皮:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,无,2020-01-23 00:58,前置双摄vivo X9sPlus,0,0,0,无
IqJ6NkmmW,迷失的半岛铁盒,女,江西,572,518,迷失的半岛铁盒:希望家人亲戚朋友都不要感染疫情。希望疫情早日得到控制和治疗。希望大家都平安。保佑。  ,无,2020-01-23 00:58,HUAWEI P30,0,0,0,无
IqJ6N3xQQ,滴答滴答滴滴答0,女,云南,188,176,滴答滴答滴滴答0:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,无,2020-01-23 00:58,HUAWEI P30,0,0,0,无
IqJ6Mr2cP,杭州宁波百正私人私家侦探,男,上海,671,202479,杭州宁波百正私人私家侦探:【新型肺炎病毒存在变异可能：3D详解新型冠状病毒变异全程】国家卫健委表示，新型冠状病毒有变异的可能，疫情存在进一步扩散的风险。病毒分为DNA病毒和RNA病毒两种，都必须寄生在宿主的细胞内才能存活，其中RNA病毒比DNA病毒更容易发生变异。它“只求数量、不求质量”，在复制过程中突变率非常高，而且具备适应新环境的能力。所有的冠状病毒都是RNA病毒。（综合）病毒是怎么变异的http://t.cn/A6vFGPyJ ,无,2020-01-23 00:58,无,2,0,0,无
IqJ6MrRfj,FOREVER_kjy,女,浙江,180,42,FOREVER_kjy:#中国有信心打赢新型肺炎疫情攻坚战#相信政府，相信国家，相信我们所有的医护人员！华夏人，生生不息！杠精滚开！有本事你去一线，你去部署，你去检测病毒基因排序，你去做特效药，找治疗方法！天天唯恐天下不乱的人建议送去隔离  ,无,2020-01-23 00:58,iPhone客户端,0,0,0,无
IqJ6MafuT,火锅要和谢娜一起吃呀,女,黑龙江,637,1445,火锅要和谢娜一起吃呀:#谢娜新年全新短片#我真的想说不去关心疫情在这骂广告位的都是什么hb那么多省不够关心的么？  ,无,2020-01-23 00:58,无,1,0,0,无
IqJ6LA8pL,huanganjia208798003,男,其他,12756,2390,huanganjia208798003:最新肺炎疫情汇总！ http://t.cn/A6Pv6Q37  ,无,2020-01-23 00:58,分享按钮,0,0,1,无
IqJ6LjpuG,-饭吖吖,女,安徽,536,906,-饭吖吖:#疫情地图#一点都要好好的过年 晚安  ,无,2020-01-23 00:58,vivo智能手机,1,0,0,无
IqJ6K5WyH,用户6321543934,男,福建,168,3,用户6321543934:《实时更新：新型冠状病毒肺炎疫情地图》全国新型冠状病毒肺炎实时地图http://t.cn/A6vsx84Q  原图 ,无,2020-01-23 00:58,百度App,0,0,0,无
IqJ6IlLyy,梦乡动漫展官博,女,陕西,864,73741,梦乡动漫展官博:各位小可爱：        梦梦们积极关注新型肺炎疫情，这几天陆续收到一些小可爱的顾虑，梦梦完全可以理解，所以决定开通退票通道。此外，我们将在会展采取很多预防措施预防此次疫情：1、各位小可爱尽量带口罩入场。（梦梦已经在全平台购买口罩，如果梦梦可以买到免费给大家提供！）2、入场时工作人员会检测小可爱们的体温，有发热症状不允许进入会场。3、增加场馆通风。梦梦这几天也会积极努力关注各方信息！有什么相关事宜都会第一时间通知小可爱们的！梦梦爱你们！梦梦们也需要时间做好充足的准备！请小可爱们谅解！也请小可爱们放心！淘宝退票联系淘宝客服！B站退票直接联系B站客服！喵特退票直接联系喵特客服！注：退票截止时间：1月25日17:00 原图 ,无,2020-01-23 00:58,无,166,4,110,无
IqJ6IkmXC,Melancholy-ho,女,黑龙江,350,45,Melancholy-ho:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vrZqOT  ,无,2020-01-23 00:58,Android,0,0,0,无
IqJ6GfeVG,ddd小白vvv,女,上海,841,1416,ddd小白vvv:#武汉对进出城车辆及人员实施疫情排查#早就应该排查了，武汉都那么严重了，开始的时候也不引起重视。为什么当时武汉人还在调侃我们外地要回武汉太小题大做，ZF的重视度直接就会影响大家。再没有研究出特效药之前，希望最大化最好限制吧。现在病情都有全国蔓延，想想还是觉得挺可怕的。武汉加油！[加油] ,无,2020-01-23 00:58,iPhone客户端,3,0,2,无
IqJ6G0TFY,A浩哥的楠楠,女,天津,477,1526,A浩哥的楠楠:#疫情中的逆行者# 大家都要平安 一定要平安  ,无,2020-01-23 00:58,HUAWEI Mate 20,0,0,0,无
IqJ6FpcQq,游资大侠,男,广东,1153,470,游资大侠:我正在看【人民网评：面对疫情任何侥幸都可能夺人性命】，分享给你，一起看吧！ 人民网评：面对疫情任何侥幸都可能夺人性命 ∥，武汉官领导散慢，没危机意识，导致今严重。→才一日死几个，病毒杀伤力强呀！武汉要封城了，别让出去传染他城市人 人民网评：面对疫情任何侥幸都可能夺人性命  原图 ,无,2020-01-23 00:58,UC浏览器Android,0,0,0,无
IqJ6EvUDi,Carlos_MZH,男,江苏,315,218,Carlos_MZH:终于能够及时关注动态了……『新型肺炎疫情实时动态 - 人民日报·丁香园』http://t.cn/A6vkGFII  ,无,2020-01-23 00:58,组装のiPhone 8 Plus,0,0,0,无
IqJ6EtWLM,用户7031997379,男,黑龙江,51,2,用户7031997379:国家卫生健康委会同相关部门联防联控 全力应对新型冠状病毒感染的肺炎疫情 http://t.cn/A6vD7Zr6  原图 ,无,2020-01-23 00:58,学习强国客户端,0,0,0,无
IqJ6EbKIo,或许是孟北北,男,山西,118,120,或许是孟北北:#中国有信心打赢新型肺炎疫情攻坚战#中国加油，武汉加油，全国人民加油，我们相信且坚信一定能成功克服这场磨难，战胜这场灾难！  ,无,2020-01-23 00:58,iPhone客户端,5,0,0,无
